,report,date,transcript_source
1038,65383254.0,2018-07-18,0
1039,65934906.0,2018-10-18,0
1040,65935382.0,2018-10-18,0
1041,66315704.0,2018-12-05,0
1042,66552943.0,2019-01-17,0
1043,66553262.0,2019-01-17,0
1044,66926554.0,2019-03-13,0
1045,68271534.0,2019-11-05,0
1046,69347648.0,2020-04-24,0
1048,69348354.0,2020-04-24,0
1049,71314310.0,2021-01-26,0
1051,71325038.0,2021-01-26,0
1053,71937321.0,2021-04-23,0
1054,8909659.0,2003-10-23,0
1055,10101711.0,2005-02-02,0
1056,11156332.0,2006-04-26,0
1057,21138239.0,2006-05-31,0
1058,21138294.0,2009-05-27,0
1059,15122450.0,2009-07-30,0
1060,15123194.0,2009-07-30,0
1061,15464244.0,2009-10-29,0
1062,16802338.0,2010-10-27,0
1063,16802346.0,2010-10-27,0
1064,17202371.0,2011-02-02,0
1065,17202372.0,2011-02-02,0
1066,17267046.0,2011-02-16,0
1067,17354471.0,2011-03-11,0
1068,17525641.0,2011-04-28,0
1069,17526280.0,2011-05-05,0
1070,17940551.0,2011-07-28,0
1071,17940554.0,2011-07-28,0
1072,18318443.0,2011-10-27,0
1073,18319882.0,2011-10-27,0
1074,18509386.0,2011-12-07,0
1075,4716959.0,2012-02-01,1
1076,18806589.0,2012-02-16,0
1077,18891709.0,2012-03-06,0
1078,20108545.0,2012-04-25,0
1080,20109749.0,2012-04-25,0
1082,20242153.0,2012-05-17,0
1083,20549209.0,2012-07-26,0
1084,20723839.0,2012-07-26,0
1087,20949668.0,2012-10-24,0
1088,20949670.0,2012-10-24,0
1089,21156106.0,2012-12-04,0
1090,21418228.0,2013-02-06,0
1091,21418323.0,2013-02-06,0
1092,21459778.0,2013-02-14,0
1093,21560957.0,2013-03-06,0
1094,21625502.0,2013-03-21,0
1095,21945159.0,2013-05-22,0
1096,22287157.0,2013-07-31,0
1097,22543802.0,2013-09-26,0
1098,22741152.0,2013-10-30,0
1099,23213000.0,2014-02-05,0
1100,23867826.0,2014-05-22,0
1101,24547461.0,2014-09-15,0
1102,25428320.0,2015-02-11,0
1103,25436705.0,2015-02-12,0
1104,26116125.0,2015-05-21,0
1105,27628595.0,2015-12-03,0
1107,27686544.0,2015-12-09,0
1108,28372008.0,2016-02-11,0
1109,28565051.0,2016-03-03,0
1110,29238718.0,2016-04-27,0
1111,29460478.0,2016-05-25,0
1114,61119517.0,2016-09-11,0
1116,61643133.0,2016-12-02,0
1118,61644152.0,2016-12-02,0
1120,61677274.0,2016-12-07,0
1121,62068676.0,2017-02-15,0
1122,62217816.0,2017-03-08,0
1123,63438202.0,2017-09-28,0
1125,63872590.0,2017-12-01,0
1126,65457738.0,2018-07-27,0
1127,65794095.0,2018-09-25,0
1128,66302827.0,2018-12-03,0
1129,66304435.0,2018-12-03,0
1130,66887868.0,2019-03-06,0
1131,68186358.0,2019-10-25,0
1132,68434322.0,2019-12-02,0
1133,68434657.0,2019-12-02,0
1134,68475788.0,2019-12-10,0
1136,68818389.0,2020-02-05,0
1138,69403159.0,2020-04-30,0
1139,69405332.0,2020-04-30,0
1140,70083182.0,2020-07-29,0
1143,70085463.0,2020-07-29,0
1144,70368067.0,2020-09-09,0
1145,70695261.0,2020-10-28,0
1146,70695276.0,2020-10-28,0
1147,71391329.0,2021-02-04,0
1150,71400295.0,2021-02-04,0
1152,72007690.0,2021-04-29,0
1156,72009296.0,2021-04-29,0
1159,72633321.0,2021-07-29,0
1163,72652920.0,2021-07-29,0
1166,73292038.0,2021-10-28,0
1167,73313288.0,2021-10-28,0
1168,73489825.0,2021-11-16,0
1169,15115260.0,2022-02-16,1
1170,74147682.0,2022-02-16,0
1171,74810459.0,2022-04-28,0
1172,8722618.0,2003-02-06,0
1175,10422826.0,2005-06-30,0
1176,11611748.0,2006-09-28,0
1177,15557357.0,2009-11-15,0
1180,21138355.0,2006-06-01,0
1181,11510584.0,2006-08-10,0
1182,1382756.0,2006-09-12,1
1183,1426381.0,2006-12-04,1
1185,12038494.0,2007-03-02,0
1186,12274715.0,2007-05-11,0
1187,12519668.0,2007-08-09,0
1188,13202141.0,2008-02-29,0
1189,14133426.0,2008-11-10,0
1190,14133992.0,2008-11-10,0
1191,14134586.0,2008-11-10,0
1192,17302909.0,2011-02-25,0
1193,17985457.0,2011-08-05,0
1194,18371776.0,2011-11-04,0
1195,18508932.0,2011-12-07,0
1196,18848604.0,2012-02-24,0
1198,18967600.0,2012-03-22,0
1199,20602624.0,2012-08-03,0
1200,21012512.0,2012-11-02,0
1201,21502821.0,2013-02-22,0
1202,21849678.0,2013-05-03,0
1203,22307404.0,2013-08-02,0
1204,22750312.0,2013-11-01,0
